"name","value","info"
"LOAN_COMP_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years"
"LOAN_WDRAW_ORIG_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and withdrew from original institution within 2 years"
"LOAN_WDRAW_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years"
"LOAN_WDRAW_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years"
"LOAN_ENRL_ORIG_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 2 years"
"LOAN_ENRL_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years"
"LOAN_ENRL_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years"
"LOAN_UNKN_ORIG_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and with status unknown within 2 years at original institution"
"LOAN_UNKN_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years"
"LOAN_UNKN_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years"
"NOLOAN_DEATH_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who died within 2 years at original institution"
"NOLOAN_COMP_ORIG_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who completed in 2 years at original institution"
"NOLOAN_COMP_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 2 years"
"NOLOAN_COMP_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years"
"NOLOAN_WDRAW_ORIG_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and withdrew from original institution within 2 years"
"NOLOAN_WDRAW_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years"
"NOLOAN_WDRAW_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years"
"NOLOAN_ENRL_ORIG_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 2 years"
"NOLOAN_ENRL_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years"
"NOLOAN_ENRL_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years"
"NOTFIRSTGEN_RPY_3YR_RT","PrivacySuppressed","Three-year repayment rate for students who are not first-generation"
"NOLOAN_UNKN_ORIG_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and with status unknown within 2 years at original institution"
"NOLOAN_UNKN_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years"
"NOLOAN_UNKN_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years"
"FIRSTGEN_DEATH_YR2_RT","PrivacySuppressed","Percent of first-generation students who died within 2 years at original institution"
"FIRSTGEN_COMP_ORIG_YR2_RT","PrivacySuppressed","Percent of first-generation students who completed within 2 years at original institution"
"FIRSTGEN_COMP_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 4-year institution and completed within 2 years"
"FIRSTGEN_COMP_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 2-year institution and completed within 2 years"
"FIRSTGEN_WDRAW_ORIG_YR2_RT","PrivacySuppressed","Percent of first-generation students withdrawn from original institution within 2 years"
"FIRSTGEN_WDRAW_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 4-year institution and withdrew within 2 years"
"FIRSTGEN_WDRAW_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 2-year institution and withdrew within 2 years"
"FIRSTGEN_ENRL_ORIG_YR2_RT","PrivacySuppressed","Percent of first-generation students who were still enrolled at original institution within 2 years"
"FIRSTGEN_ENRL_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 2 years"
"FIRSTGEN_ENRL_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 2 years"
"FIRSTGEN_UNKN_ORIG_YR2_RT","PrivacySuppressed","Percent of first-generation students with status unknown within 2 years at original institution"
"FIRSTGEN_UNKN_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years"
"FIRSTGEN_UNKN_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years"
"NOT1STGEN_DEATH_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who died within 2 years at original institution"
"NOT1STGEN_COMP_ORIG_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who completed within 2 years at original institution"
"NOT1STGEN_COMP_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 4-year institution and completed within 2 years"
"NOT1STGEN_COMP_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 2-year institution and completed within 2 years"
"NOT1STGEN_WDRAW_ORIG_YR2_RT","PrivacySuppressed","Percent of not-first-generation students withdrawn from original institution within 2 years"
"NOT1STGEN_WDRAW_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 2 years"
"NOT1STGEN_WDRAW_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 2 years"
"NOT1STGEN_ENRL_ORIG_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who were still enrolled at original institution within 2 years"
"NOT1STGEN_ENRL_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 2 years"
"NOT1STGEN_ENRL_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 2 years"
"NOT1STGEN_UNKN_ORIG_YR2_RT","PrivacySuppressed","Percent of not-first-generation students with status unknown within 2 years at original institution"
"NOT1STGEN_UNKN_4YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years"
"NOT1STGEN_UNKN_2YR_TRANS_YR2_RT","PrivacySuppressed","Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years"
"DEATH_YR3_RT","PrivacySuppressed","Percent died within 3 years at original institution"
"COMP_ORIG_YR3_RT","0.830434783","Percent completed within 3 years at original institution"
"COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 4-year institution and completed within 3 years"
"COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 2-year institution and completed within 3 years"
"WDRAW_ORIG_YR3_RT","0.069565217","Percent withdrawn from original institution within 3 years"
"WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 4-year institution and withdrew within 3 years"
"WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 2-year institution and withdrew within 3 years"
"ENRL_ORIG_YR3_RT","0.047826087","Percent still enrolled at original institution within 3 years"
"ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 4-year institution and were still enrolled within 3 years"
"ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 2-year institution and were still enrolled within 3 years"
"UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent with status unknown within 3 years at original institution"
"UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 4-year institution and whose status is unknown within 3 years"
"UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent who transferred to a 2-year institution and whose status is unknown within 3 years"
"LO_INC_DEATH_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who died within 3 years at original institution"
"LO_INC_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who completed within 3 years at original institution"
"LO_INC_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years"
"LO_INC_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years"
"LO_INC_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 3 years"
"LO_INC_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
"LO_INC_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
"FEMALE_RPY_5YR_N","199","Number of students in the 5-year repayment rate of female students cohort"
"LO_INC_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 3 years"
"LO_INC_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
"LO_INC_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years"
"LO_INC_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 3 years at original institution"
"LO_INC_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years"
"LO_INC_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
"MD_INC_DEATH_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 3 years at original institution"
"MD_INC_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 3 years at original institution"
"MD_INC_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years"
"MD_INC_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years"
"MD_INC_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 3 years"
"MD_INC_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
"MD_INC_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
"MD_INC_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 3 years"
"MD_INC_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
"MD_INC_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years"
"MD_INC_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 3 years at original institution"
"MD_INC_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years"
"MD_INC_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
"HI_INC_DEATH_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who died within 3 years at original institution"
"HI_INC_COMP_ORIG_YR3_RT","0.840909091","Percent of high-income (above $75,000 in nominal family income) students who completed within 3 years at original institution"
"HI_INC_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years"
"HI_INC_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years"
"HI_INC_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 3 years"
"HI_INC_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years"
"HI_INC_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
"HI_INC_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 3 years"
"HI_INC_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
"HI_INC_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years"
"HI_INC_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students with status unknown within 3 years at original institution"
"HI_INC_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years"
"HI_INC_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
"DEP_DEATH_YR3_RT","PrivacySuppressed","Percent of dependent students who died within 3 years at original institution"
"DEP_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of dependent students who completed within 3 years at original institution"
"DEP_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 4-year institution and completed within 3 years"
"DEP_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 2-year institution and completed within 3 years"
"DEP_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of dependent students withdrawn from original institution within 3 years"
"DEP_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 4-year institution and withdrew within 3 years"
"DEP_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 2-year institution and withdrew within 3 years"
"DEP_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of dependent students who were still enrolled at original institution within 3 years"
"DEP_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 4-year institution and were still enrolled within 3 years"
"DEP_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 2-year institution and were still enrolled within 3 years"
"DEP_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of dependent students with status unknown within 3 years at original institution"
"DEP_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 3 years"
"DEP_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 3 years"
"IND_DEATH_YR3_RT","PrivacySuppressed","Percent of independent students who died within 3 years at original institution"
"IND_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of independent students who completed within 3 years at original institution"
"IND_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 4-year institution and completed within 3 years"
"IND_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 2-year institution and completed within 3 years"
"IND_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of independent students withdrawn from original institution within 3 years"
"IND_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 4-year institution and withdrew within 3 years"
"IND_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 2-year institution and withdrew within 3 years"
"IND_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of independent students who were still enrolled at original institution within 3 years"
"IND_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 4-year institution and were still enrolled within 3 years"
"IND_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 2-year institution and were still enrolled within 3 years"
"IND_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of independent students with status unknown within 3 years at original institution"
"IND_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 4-year institution and whose status is unknown within 3 years"
"IND_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of independent students who transferred to a 2-year institution and whose status is unknown within 3 years"
"FEMALE_DEATH_YR3_RT","PrivacySuppressed","Percent of female students who died within 3 years at original institution"
"FEMALE_COMP_ORIG_YR3_RT","0.875","Percent of female students who completed within 3 years at original institution"
"FEMALE_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 4-year institution and completed within 3 years"
"FEMALE_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 2-year institution and completed within 3 years"
"FEMALE_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of female students withdrawn from original institution within 3 years"
"FEMALE_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 4-year institution and withdrew within 3 years"
"FEMALE_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 2-year institution and withdrew within 3 years"
"FEMALE_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of female students who were still enrolled at original institution within 3 years"
"FEMALE_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 4-year institution and were still enrolled within 3 years"
"FEMALE_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 2-year institution and were still enrolled within 3 years"
"FEMALE_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of female students with status unknown within 3 years at original institution"
"FEMALE_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 4-year institution and whose status is unknown within 3 years"
"FEMALE_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of female students who transferred to a 2-year institution and whose status is unknown within 3 years"
"MALE_DEATH_YR3_RT","PrivacySuppressed","Percent of male students who died within 3 years at original institution"
"MALE_COMP_ORIG_YR3_RT","0.781818182","Percent of male students who completed within 3 years at original institution"
"MALE_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 4-year institution and completed within 3 years"
"MALE_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 2-year institution and completed within 3 years"
"MALE_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of male students withdrawn from original institution within 3 years"
"MALE_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 4-year institution and withdrew within 3 years"
"MALE_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 2-year institution and withdrew within 3 years"
"MALE_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of male students who were still enrolled at original institution within 3 years"
"MALE_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 4-year institution and were still enrolled within 3 years"
"MALE_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 2-year institution and were still enrolled within 3 years"
"MALE_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of male students with status unknown within 3 years at original institution"
"MALE_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 4-year institution and whose status is unknown within 3 years"
"MALE_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of male students who transferred to a 2-year institution and whose status is unknown within 3 years"
"PELL_DEATH_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who died within 3 years at original institution"
"PELL_COMP_ORIG_YR3_RT","0.829545455","Percent of students who received a Pell Grant at the institution and who completed in 3 years at original institution"
"PELL_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years"
"PELL_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years"
"PELL_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and withdrew from original institution within 3 years"
"PELL_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years"
"PELL_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years"
"PELL_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 3 years"
"PELL_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years"
"PELL_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years"
"PELL_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and with status unknown within 3 years at original institution"
"PELL_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years"
"PELL_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years"
"NOPELL_DEATH_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who died within 3 years at original institution"
"NOPELL_COMP_ORIG_YR3_RT","0.830985916","Percent of students who never received a Pell Grant at the institution and who completed in 3 years at original institution"
"NOPELL_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years"
"NOPELL_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years"
"NOPELL_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 3 years"
"NOPELL_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years"
"NOPELL_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years"
"NOPELL_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 3 years"
"NOPELL_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years"
"NOPELL_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years"
"NOPELL_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and with status unknown within 3 years at original institution"
"NOPELL_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years"
"NOPELL_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years"
"LOAN_DEATH_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who died within 3 years at original institution"
"LOAN_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who completed in 3 years at original institution"
"LOAN_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years"
"LOAN_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years"
"LOAN_WDRAW_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and withdrew from original institution within 3 years"
"LOAN_WDRAW_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years"
"LOAN_WDRAW_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 3 years"
"LOAN_ENRL_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 3 years"
"LOAN_ENRL_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years"
"LOAN_ENRL_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years"
"LOAN_UNKN_ORIG_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and with status unknown within 3 years at original institution"
"LOAN_UNKN_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years"
"LOAN_UNKN_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years"
"NOLOAN_DEATH_YR3_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who died within 3 years at original institution"
"NOLOAN_COMP_ORIG_YR3_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who completed in 3 years at original institution"
"NOLOAN_COMP_4YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years"
"NOLOAN_COMP_2YR_TRANS_YR3_RT","PrivacySuppressed","Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years"
